release_date,title,production_budget,domestic_gross,worldwide_gross,studio,foreign_gross,release_season,profit
1916-12-24 00:00:00,"20,000 Leagues Under the Sea",200000.0,1400000.0,8000000.0,unknown,18700000.0,Winter,7800000.0
1999-02-26 00:00:00,200 Cigarettes,6000000.0,1400000.0,6852450.0,unknown,18700000.0,Winter,852450.0
1968-04-02 00:00:00,2001: A Space Odyssey,10500000.0,1400000.0,71928046.0,unknown,18700000.0,Spring,61428046.0
unknown,2001: A Space Odyssey (2018 re-release),17000000.0,3200000.0,21900000.0,WB,18700000.0,Winter,4900000.0
2009-11-13 00:00:00,2012,200000000.0,1400000.0,757677748.0,unknown,18700000.0,Fall,557677748.0
2012-07-13 00:00:00,2016: Obamaâs America,2500000.0,1400000.0,33349941.0,unknown,18700000.0,Summer,30849941.0
2005-08-05 00:00:00,2046,12000000.0,1400000.0,19287485.0,unknown,18700000.0,Summer,7287485.0
unknown,20th Century Women,17000000.0,5700000.0,24400000.0,A24,18700000.0,Winter,7400000.0
2008-03-28 00:00:00,21,35000000.0,1400000.0,159846429.0,unknown,18700000.0,Spring,124846429.0
2003-11-21 00:00:00,21 Grams,20000000.0,1400000.0,59667625.0,unknown,18700000.0,Fall,39667625.0
unknown,21 Jump Street,17000000.0,138400000.0,201500000.0,Sony,63100000.0,Winter,184500000.0
2012-03-16 00:00:00,21 Jump Street,42000000.0,1400000.0,202812429.0,unknown,18700000.0,Spring,160812429.0
unknown,21 and Over,17000000.0,25700000.0,48100000.0,Rela.,22400000.0,Winter,31100000.0
2013-03-01 00:00:00,21 and Over,13000000.0,1400000.0,42195766.0,unknown,18700000.0,Spring,29195766.0
unknown,22 Bullets,17000000.0,1400000.0,22700000.0,Cdgm.,21300000.0,Winter,5700000.0
unknown,22 Jump Street,17000000.0,191700000.0,331300000.0,Sony,139600000.0,Winter,314300000.0
2014-06-13 00:00:00,22 Jump Street,50000000.0,1400000.0,331333876.0,unknown,18700000.0,Summer,281333876.0
2014-10-24 00:00:00,23 Blast,1000000.0,1400000.0,549185.0,unknown,18700000.0,Fall,-450815.0
1998-04-15 00:00:00,24 7: Twenty Four Seven,2000000.0,1400000.0,72544.0,unknown,18700000.0,Spring,-1927456.0
2002-12-19 00:00:00,25th Hour,4500000.0,1400000.0,25344490.0,unknown,18700000.0,Winter,20844490.0
2008-01-18 00:00:00,27 Dresses,30000000.0,1400000.0,160247805.0,unknown,18700000.0,Winter,130247805.0
2000-04-14 00:00:00,28 Days,43000000.0,1400000.0,62063972.0,unknown,18700000.0,Spring,19063972.0
2003-06-27 00:00:00,28 Days Laterâ¦,8000000.0,1400000.0,82955633.0,unknown,18700000.0,Summer,74955633.0
unknown,28 Hotel Rooms,17000000.0,18900.0,18718900.0,Osci.,18700000.0,Winter,1718900.0
2007-05-11 00:00:00,28 Weeks Later,15000000.0,1400000.0,64232714.0,unknown,18700000.0,Spring,49232714.0
2011-06-28 00:00:00,2:13,3500000.0,1400000.0,0.0,unknown,18700000.0,Summer,-3500000.0
unknown,2:22,17000000.0,400.0,18700400.0,Magn.,18700000.0,Winter,1700400.0
2011-09-16 00:00:00,3,7200000.0,1400000.0,295492.0,unknown,18700000.0,Fall,-6904508.0
unknown,3 (2011),17000000.0,60000.0,2660000.0,Strand,2600000.0,Winter,-14340000.0
unknown,"3 1/2 Minutes, 10 Bullets",17000000.0,30400.0,18730400.0,Part.,18700000.0,Winter,1730400.0
2011-03-11 00:00:00,3 Backyards,300000.0,1400000.0,39475.0,unknown,18700000.0,Spring,-260525.0
unknown,3 Days to Kill,17000000.0,30700000.0,52600000.0,Rela.,21900000.0,Winter,35600000.0
2014-02-21 00:00:00,3 Days to Kill,28000000.0,1400000.0,38959900.0,unknown,18700000.0,Winter,10959900.0
unknown,3 Generations,17000000.0,156000.0,531000.0,Wein.,375000.0,Winter,-16469000.0
unknown,3 Idiotas,17000000.0,1200000.0,19900000.0,PNT,18700000.0,Winter,2900000.0
1987-11-25 00:00:00,3 Men and a Baby,15000000.0,1400000.0,167780960.0,unknown,18700000.0,Fall,152780960.0
1994-05-06 00:00:00,3 Ninjas Kick Back,20000000.0,1400000.0,11744960.0,unknown,18700000.0,Spring,-8255040.0
2000-03-01 00:00:00,3 Strikes,4000000.0,1400000.0,9821335.0,unknown,18700000.0,Spring,5821335.0
2007-10-19 00:00:00,30 Days of Night,30000000.0,1400000.0,80276156.0,unknown,18700000.0,Fall,50276156.0
unknown,30 Minutes or Less,17000000.0,37100000.0,40600000.0,Sony,3500000.0,Winter,23600000.0
2011-08-12 00:00:00,30 Minutes or Less,28000000.0,1400000.0,40966716.0,unknown,18700000.0,Summer,12966716.0
2013-01-15 00:00:00,30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,3000000.0,1400000.0,0.0,unknown,18700000.0,Winter,-3000000.0
2007-03-09 00:00:00,300,60000000.0,1400000.0,454161935.0,unknown,18700000.0,Spring,394161935.0
2001-02-23 00:00:00,3000 Miles to Graceland,62000000.0,1400000.0,18708848.0,unknown,18700000.0,Winter,-43291152.0
unknown,300: Rise of An Empire,17000000.0,106600000.0,337600000.0,WB,231000000.0,Winter,320600000.0
2014-03-07 00:00:00,300: Rise of an Empire,110000000.0,1400000.0,330780051.0,unknown,18700000.0,Spring,220780051.0
2016-10-21 00:00:00,31,1500000.0,1400000.0,922727.0,unknown,18700000.0,Fall,-577273.0
2019-12-31 00:00:00,355,75000000.0,1400000.0,0.0,unknown,18700000.0,Winter,-75000000.0
unknown,360,17000000.0,100000.0,1700000.0,Magn.,1600000.0,Winter,-15300000.0
2007-09-07 00:00:00,3:10 to Yuma,48000000.0,1400000.0,71171825.0,unknown,18700000.0,Fall,23171825.0
